SRS_ID	WADMKK	WADMPR	NO
SRGI 2013	Agam	Sumatera Barat	1
SRGI 2013	Dharmasraya	Sumatera Barat	2
SRGI 2013	Kepulauan Mentawai	Sumatera Barat	3
SRGI 2013	Kota Bukittinggi	Sumatera Barat	4
SRGI 2013	Kota Padang	Sumatera Barat	5
SRGI 2013	Kota Padang Panjang	Sumatera Barat	6
SRGI 2013	Kota Pariaman	Sumatera Barat	7
SRGI 2013	Kota Payakumbuh	Sumatera Barat	8
SRGI 2013	Kota Sawahlunto	Sumatera Barat	9
SRGI 2013	Kota Solok	Sumatera Barat	10
SRGI 2013	Lima Puluh Kota	Sumatera Barat	11
SRGI 2013	Padang Pariaman	Sumatera Barat	12
SRGI 2013	Pasaman	Sumatera Barat	13
SRGI 2013	Pasaman Barat	Sumatera Barat	14
SRGI 2013	Pesisir Selatan	Sumatera Barat	15
SRGI 2013	Sijunjung	Sumatera Barat	16
SRGI 2013	Solok	Sumatera Barat	17
SRGI 2013	Solok Selatan	Sumatera Barat	18
SRGI 2013	Tanah Datar	Sumatera Barat	19
		Sumatera Barat	20
		Sumatera Barat	21
		Sumatera Barat	22
		Sumatera Barat	23
		Sumatera Barat	24
		Sumatera Barat	25
		Sumatera Barat	26
		Sumatera Barat	27
		Sumatera Barat	28
		Sumatera Barat	29
		Sumatera Barat	30
		Sumatera Barat	31
		Sumatera Barat	32
		Sumatera Barat	33
		Sumatera Barat	34
		Sumatera Barat	35
		Sumatera Barat	36
		Sumatera Barat	37
		Sumatera Barat	38
		Sumatera Barat	39
		Sumatera Barat	40
		Sumatera Barat	41
		Sumatera Barat	42
		Sumatera Barat	43
		Sumatera Barat	44
		Sumatera Barat	45
		Sumatera Barat	46
		Sumatera Barat	47
		Sumatera Barat	48
		Sumatera Barat	47
		Sumatera Barat	50
		Sumatera Barat	51
		Sumatera Barat	52
		Sumatera Barat	53
		Sumatera Barat	54
		Sumatera Barat	55
		Sumatera Barat	56
		Sumatera Barat	57
		Sumatera Barat	58
		Sumatera Barat	59
		Sumatera Barat	60
		Sumatera Barat	61
		Sumatera Barat	62
		Sumatera Barat	63
		Sumatera Barat	64
		Sumatera Barat	65
		Sumatera Barat	66
		Sumatera Barat	67
		Sumatera Barat	68
		Sumatera Barat	69
		Sumatera Barat	70
		Sumatera Barat	71
		Sumatera Barat	72
		Sumatera Barat	73
		Sumatera Barat	74
		Sumatera Barat	75
		Sumatera Barat	76
		Sumatera Barat	77
		Sumatera Barat	78
		Sumatera Barat	79
		Sumatera Barat	80
		Sumatera Barat	81
		Sumatera Barat	82
		Sumatera Barat	83
		Sumatera Barat	84
		Sumatera Barat	85
		Sumatera Barat	86
		Sumatera Barat	87
		Sumatera Barat	88
		Sumatera Barat	89
		Sumatera Barat	90
		Sumatera Barat	91
		Sumatera Barat	92
		Sumatera Barat	93
		Sumatera Barat	94
		Sumatera Barat	95
		Sumatera Barat	96
		Sumatera Barat	97
		Sumatera Barat	98
		Sumatera Barat	99
		Sumatera Barat	100
		Sumatera Barat	101
		Sumatera Barat	102
		Sumatera Barat	103
		Sumatera Barat	104
		Sumatera Barat	105
		Sumatera Barat	106
		Sumatera Barat	107
		Sumatera Barat	108
		Sumatera Barat	109
		Sumatera Barat	110
		Sumatera Barat	111
		Sumatera Barat	112
		Sumatera Barat	113
		Sumatera Barat	114
		Sumatera Barat	115
		Sumatera Barat	116
		Sumatera Barat	117
		Sumatera Barat	118
		Sumatera Barat	119
		Sumatera Barat	120
		Sumatera Barat	121
		Sumatera Barat	122
		Sumatera Barat	123
		Sumatera Barat	124
		Sumatera Barat	125
		Sumatera Barat	126
		Sumatera Barat	127
		Sumatera Barat	128
		Sumatera Barat	129
		Sumatera Barat	130
		Sumatera Barat	131
		Sumatera Barat	132
		Sumatera Barat	133
		Sumatera Barat	134
		Sumatera Barat	135
		Sumatera Barat	136
		Sumatera Barat	137
		Sumatera Barat	138
		Sumatera Barat	139
		Sumatera Barat	140
		Sumatera Barat	141
		Sumatera Barat	142
		Sumatera Barat	143
		Sumatera Barat	144
		Sumatera Barat	145
		Sumatera Barat	146
		Sumatera Barat	147
		Sumatera Barat	148
		Sumatera Barat	149
		Sumatera Barat	150
